,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,424346,78,508,5612,0.9986389312126055,0.9169934640522875,0.950381033022862
1,SVM,424049,375,1,6119,0.9991266862388049,0.9998366013071895,0.9701918503250356
2,Gradient Boosting Classifier,424136,288,108,6012,0.9990802333791668,0.9823529411764705,0.9681159420289855
